id,stock,Nasdaq Traded,security_name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
482,BRKL,Y,"Brookline Bancorp, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BRKL,N
483,BRKR,Y,Bruker Corporation - Common Stock,Q,Q,N,100.0,N,N,,BRKR,N
484,BRKS,Y,"Brooks Automation, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BRKS,N
485,BRO,Y,"Brown & Brown, Inc. Common Stock",N, ,N,100.0,N,,BRO,BRO,N
486,BRP,Y,"BRP Group, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,BRP,N
487,BRT,Y,BRT Apartments Corp. (MD) Common Stock,N, ,N,100.0,N,,BRT,BRT,N
488,BRX,Y,Brixmor Property Group Inc. Common Stock,N, ,N,100.0,N,,BRX,BRX,N
489,BRZU,Y,Direxion Daily Brazil Bull 2X Shares,P, ,Y,100.0,N,,BRZU,BRZU,N
490,BSAC,Y,Banco Santander - Chile ADS,N, ,N,100.0,N,,BSAC,BSAC,N
491,BSBR,Y,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",N, ,N,100.0,N,,BSBR,BSBR,N
492,BSCL,Y,Invesco BulletShares 2021 Corporate Bond ETF,Q,G,Y,100.0,N,N,,BSCL,N
